abacus     n.算盘
abandon     v.|n.放弃;放纵
abase     v.贬抑,使卑下
abash     v.使害羞,使尴尬
abate     v.减轻,减少
abbreviate     v.缩短;缩写;
abdicate     v.让位,辞职,放弃
abdomen     n.腹,下腹(胸部到腿部的部分)
abduct     v.绑架,拐走
aberrant     adj.越轨的;异常的
abet     v.教唆,协助(罪犯)
abeyance     n.中止,搁置
abhor     v.憎恨,嫌恶
abhorrent     adj.可恨的,令人生厌的
abide     v.容忍,忍受
abiding     adj.永久的,持久的
abject     adj.极可怜的;卑下的
abjure     v.发誓,戒绝;弃绝
ablution     n.(宗教的)净礼,沐浴
abnegate     v.克己,放弃
abnormal     adj.不正常的,变态的
abode     n.住处,住所
abolition     n.废除,革除
abominate     v.痛恨;厌恶
abominable     adj.可恶的;令人憎恶的
aboriginal     n.原始居民,土著
abortive     adj.无结果的,失败的
abound     v.充满;富于
aboveboard     adj.|adv.光明正大的/地
abrade     v.磨损,磨小
abreast     adv.并列,并排
abridge     v.删减;缩短
abridgment     n.删节;节本
abrogate     v.废止,废除
abruptly     adv.突然地,意外地
abscission      v.脱离
abscond     v.潜逃,逃亡
absentmindedness     n.心不在焉
absolute     adj.绝对的,完全的;无(条件)限制的
absolve     v.赦免,免除
absorb     v.吸收,吸进;减轻...作用
abstain     v.自动戒绝
abstemious     adj.有节制的,节俭的
abstinence     n.禁绝(尤指食物或酒)
abstract     n.摘要adj.抽象的
abstracted     adj.心不在焉的
abstraction     n.抽取;抽象概念;心不在焉
abstruse     adj.难懂的,深奥的
absurd     adj.荒谬的,可笑的
abundance     n.充裕,多量
abuse     v.|n.辱骂;滥用
abut     v.接界,毗连
abysmal     adj.极深的;糟透的
abyss     n.深渊,深坑
academician     n.院士,学会会员
accede     v.应允,同意
accelerate     v.加速;促进
accentuate     v.着重;强调
access     n.通路;途径
accessible     adj.易达到的;易受影响的
accessory     adj.附属的,次要的
accidental     adj.意外的,偶然的
acclaim     v.欢呼,称赞
acclimate     v.使服水土;使适应
acclivity     n.向上的陡坡
accolade     n.推崇备至;赞扬
accommodate     v.与...一致,提供食宿
accommodating     adj.乐于助人的
accompany     v.伴随,陪伴
accomplice     n.同谋者,帮凶
accomplish     v.完成,做成功
accomplished     adj.有技巧的,有造诣的;完成了的
accord     v.|n.同意;给予
accost     v.贸然上前与人攀谈
accountability     n.负有责任
accrete     v.添加生长;连生
accretion     n.自然的增加;增加物
accrue     v.(利息等)增大;增多
accumulate     v.积聚,积累
accuracy     n.精确,准确
accuse     v.谴责,指责
acerbic     adj.苦涩的;刻薄的
acidity     n.酸味,酸性
acidulous     adj.有酸味的;刻薄的
acknowledge     v.承认,供认
acme     n.顶点,极点
acolyte     n.(教士的)助手,侍僧
acorn     n.橡实,橡树子/果
acoustic     adj.听觉的,有关声音的
acquaintance     n.熟知;熟人
acquainted     adj.对某事物熟悉的;对某人认识的
acquiesce     v.勉强同意,默认
acquired     adj.后天习得的
acquisition     n.获得;获得物
acquisitive     adj.贪得的,物欲重的
acquittal     n.宣告无罪,开释
acrid     adj.辛辣的,刻薄的
acrimony     n.尖刻,刻薄
acrobat     n.特技演员,杂技演员
acronym     n.首字母简略词,简称
acrophobia     n.恐高症
activate     v.使活泼;加速反应
actuarial     adj.(保险)精算的;保险计算的
actuate     v.驱使,激励
acuity     n.(尤指思想或感官)敏锐
acumen     n.敏锐,明智
acute     adj.灵敏的;(病)急性的
adage     n.格言,古训
adamant     adj.强硬的;固执的
adaptable     adj.有适应能力的;可改编的,可改写的
adaptation     n.(尤用于生物学)适应,适应性;改制物
addendum     n.补充,附录
addict     v.|n.沉溺,上瘾(者)
addition     n.增加,附加
additive     n.添加剂
addle     v.使腐坏;使昏乱
adduce     v.给予理由;举出例证
adept     adj.老练的,精通的
adequate     adj.令人满意的,充分的
adhere     v.粘着
adjacent     adj.接近的,毗连的
adjourn     v.使延期,休会,推迟
adjudicate     v.充当裁判;判决
adjunct     n.附加物,附件;附加语,修饰语
adjure     v.郑重敦促
adjust     v.整顿,整理;适应
adjutant     n.(军队的)副官
adlib v.即兴演讲
administer     v.管理;供给
admirable     adj.令人钦佩的,极好的
admire     v.钦佩,赞赏
admissible     adj.可容许的
admonish     v.训诫;警告
adobe     n.泥砖,土坯
adolescent     adj.青春期的n.青少年
adopt     v.收养;采纳
adore     v.崇拜;热爱
adorable     adj.迷人的,可爱的
adorn     v.装饰
adroit     adj.熟练的,灵巧的
adulate     v.谄媚,奉承
adulterate     v.掺假
adumbrate     v.(对将来事件)预示
advent     n.到来,来临
adventitious     adj.偶然的
adventurous     adj.渴望冒险的;充满危险和刺激的
adversary     n.对手,敌手
adverse     adj.不利的,相反的;敌对的
adversity     n.不幸,灾难
advert     v.提及,提出看法
advisable     adj.适当的,可行的
advocate     v.拥护,支持n.支持者,拥护者
aerate     v.充气,让空气进入
aerial     adj.空中的,空气中的
aeronautics     n.航空学
aesthete     n.审美家
affable     adj.易于交谈的;和蔼的
affect     v.影响;感染
affectation     n.做作,虚假
affected     adj.不自然的;假装的
affection     n.亲情,柔情
affectionate     adj.挚爱的
